acpid 2.0.34-1
acpilight 1.2-2
alacritty 0.11.0-2
alsa-utils 1.2.8-1
amd-ucode 20230117.7e4f0ed-1
archlinux-wallpaper 1.6.1-2
autoconf 2.71-1
automake 1.16.5-1
base 3-1
bash-completion 2.11-3
bc 1.07.1-4
bison 3.8.2-4
bluez-utils 5.66-1
clang 15.0.7-1
clipmenu 6.2.0-2
d-feet 0.3.16-2
discord 0.0.24-1
djview 4.12-4
dmenu 5.2-1
docker 1:20.10.23-1
efibootmgr 18-1
engrampa 1.26.0-1
etcd 3.5.6-1
exfatprogs 1.2.0-1
fakeroot 1.30.1-1
firefox 109.0.1-1
fish 3.6.0-1
flex 2.6.4-4
gcc 12.2.1-1
gimp 2.10.32-3
git 2.39.1-1
gnome-keyring 1:42.1-2
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-free-fonts 20120503-8
google-chrome 109.0.5414.119-1
grub 2:2.06.r440.g4de39a2af-1
gvim 9.0.1182-1
heroic-games-launcher-bin 2.6.1-1
htop 3.2.1-1
kube-apiserver 1.26.1-1
kube-controller-manager 1.26.1-1
kube-proxy 1.26.1-1
kube-scheduler 1.26.1-1
kubeadm 1.26.1-1
kubectl 1.26.1-1
kubelet 1.26.1-1
lapack 3.11.0-2
lib32-pipewire 1:0.3.65-2
libreoffice-still 7.4.5-1
linux 6.1.9.arch1-1
linux-firmware 20230117.7e4f0ed-1
lshw B.02.19.2-5
lxappearance-gtk3 0.6.3-4
m4 1.4.19-2
maim 5.7.4-5
make 4.4-1
man-db 2.11.2-1
man-pages 6.02-1
mattermost-desktop 5.1.1-3
mupdf 1.21.1-1
networkmanager 1.40.12-1
nodejs-lts-gallium 16.19.0-1
npm 8.19.2-1
ntp 4.2.8.p15-3
openshift-client-bin 4.10.17-2
otf-san-francisco-mono 1-11
pacman-contrib 1.8.2-1
patch 2.7.6-8
pavucontrol 1:5.0+r61+gee77d86-2
pdfarranger 1.9.2-1
picom 10.2-1
pipewire-alsa 1:0.3.65-6
pipewire-pulse 1:0.3.65-6
pkgconf 1.8.0-1
postgresql 15.1-1
python 3.10.9-1
python-cpplint 1.6.1-2
python-dbus-next 0.2.3-3
python-pip 22.3.1-1
python38 3.8.16-3
qtile 0.22.1-3
ristretto 0.12.4-1
root 6.26.10-4
rtorrent 0.9.8-3
seahorse 1:43.0-1
sof-firmware 2.2.4-1
steam 1.0.0.75-1
sudo 1.9.12.p2-1
texinfo 7.0.2-1
thunar 4.18.3-1
tlp 1.5.0-5
tmux 3.3_a-2
unrar 1:6.2.5-1
unzip 6.0-19
visual-studio-code-bin 1.75.0-1
vlc 3.0.18-6
wget 1.21.3-1
which 2.21-5
x2goclient 4.1.2.2-5
xclip 0.13-3
xf86-video-amdgpu 22.0.0-1
xorg-server 21.1.6-1
xorg-xinit 1.4.2-1
xorg-xrandr 1.5.2-1
yay-bin 11.3.2-1
zip 3.0-10
zoom 5.13.5-1
